m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
2048,2048,1024,39.675,42.75,24.915,1.592,0.928,1.716,108,100,172,0,100,21.6,1424
4096,4096,1024,50.895,44.56,29.13,1.747,1.142,1.53,169,193,295,0,100,19.1,1424
8192,8192,1024,70.97,50.105,37.82,1.877,1.416,1.325,242,343,454,0,100,26.9,1424
16384,16384,1024,114.565,64.665,54.605,2.098,1.772,1.184,300,531,629,0,100,14.8,1424
32768,32768,1024,195.425,93.835,85.195,2.294,2.083,1.101,352,732,807,0,100,143.6,1424
1,16,2048,34.565,36.98,21.465,1.61,0.935,1.723,0,0,0,1,100,24.5,1424
2,16,2048,35.98,37.91,21.375,1.683,0.949,1.774,0,0,1,1,100,31.8,1424
4,16,2048,36.05,37.93,21.59,1.67,0.95,1.757,1,1,2,1,100,24.0,1424
8,16,2048,36.025,38.12,21.475,1.678,0.945,1.775,2,2,3,1,100,31.1,1424
16,16,2048,35.795,37.88,21.86,1.637,0.945,1.733,4,4,6,0,100,40.7,1424
32,128,2048,36.54,37.91,22.75,1.606,0.964,1.666,7,7,12,1,100,27.3,1424
64,128,2048,37.655,38.72,23.51,1.602,0.972,1.647,14,14,23,1,100,26.1,1424
128,128,2048,38.59,40.065,23.135,1.668,0.963,1.732,28,27,46,0,100,30.9,1424
256,256,2048,39.085,40.825,23.815,1.641,0.957,1.714,55,53,90,0,100,45.4,1424
512,512,2048,43.12,43.02,23.7,1.819,1.002,1.815,100,100,181,0,100,29.0,1424
1024,1024,2048,49.84,44.47,27.565,1.808,1.121,1.613,172,193,312,0,100,26.4,1424
2048,2048,2048,70.435,50.04,34.105,2.065,1.408,1.467,244,343,504,0,100,25.2,1424
4096,4096,2048,112.015,61.25,47.175,2.374,1.829,1.298,307,561,728,0,100,19.1,1424
8192,8192,2048,193.38,80.095,73.51,2.631,2.414,1.09,355,858,935,0,100,18.0,1424
16384,16384,2048,353.26,124.86,125.81,2.808,2.829,0.992,389,1101,1092,0,100,16.8,1424
32768,32768,2048,672.58,206.355,221.04,3.043,3.259,0.934,409,1332,1244,0,100,6.0,1424
1,16,3072,45.405,39.51,26.045,1.743,1.149,1.517,0,0,1,1,100,18.2,1424
2,16,3072,45.105,39.335,26.01,1.734,1.147,1.512,1,1,1,1,100,26.6,1424
4,16,3072,45.545,39.725,26.215,1.737,1.147,1.515,2,2,3,1,100,33.0,1424
8,16,3072,45.57,39.83,26.165,1.742,1.144,1.522,3,4,6,1,100,28.7,1424
16,16,3072,45.265,39.29,25.705,1.761,1.152,1.528,7,8,12,0,100,24.9,1424
32,128,3072,45.995,40.655,27.955,1.645,1.131,1.454,13,15,22,1,100,23.8,1424
64,128,3072,47.135,40.25,27.985,1.684,1.171,1.438,26,30,43,1,100,30.2,1424
128,128,3072,50.91,41.51,28.15,1.809,1.226,1.475,47,58,86,0,100,28.0,1424
256,256,3072,54.585,44.04,28.365,1.924,1.239,1.553,89,110,170,0,100,26.0,1424
512,512,3072,61.685,48.515,33.03,1.868,1.271,1.469,157,199,293,0,100,31.8,1424
1024,1024,3072,76.57,51.07,38.525,1.988,1.499,1.326,252,378,502,0,100,23.4,1424
2048,2048,3072,121.705,63.385,49.365,2.465,1.92,1.284,318,610,783,0,100,15.1,1424
4096,4096,3072,212.345,85.405,76.955,2.759,2.486,1.11,364,905,1005,0,100,42.1,1424
8192,8192,3072,393.275,132.86,132.44,2.969,2.96,1.003,393,1164,1167,0,100,9.5,1424
16384,16384,3072,751.905,223.345,235.8,3.189,3.367,0.947,411,1385,1311,0,100,5.2,1424
32768,32768,3072,1471.83,408.845,442.09,3.329,3.6,0.925,420,1513,1399,0,100,9.9,1424
1,16,4096,62.915,41.865,29.945,2.101,1.503,1.398,1,1,1,1,100,8595.6,1424
2,16,4096,65.545,44.29,30.64,2.139,1.48,1.445,1,2,2,1,100,61.2,1424
4,16,4096,65.52,43.85,29.935,2.189,1.494,1.465,2,3,4,1,100,37.7,1424
8,16,4096,64.215,42.945,29.375,2.186,1.495,1.462,4,6,9,1,100,123.9,1424
16,16,4096,62.97,41.96,28.91,2.178,1.501,1.451,9,13,19,0,100,19.1,1424
32,128,4096,64.05,42.205,30.83,2.078,1.518,1.369,17,25,35,1,100,23.8,1424
64,128,4096,65.045,42.91,31.035,2.096,1.516,1.383,33,50,69,1,100,31.0,1424
128,128,4096,68.275,44.415,30.395,2.246,1.537,1.461,63,97,141,0,100,27.7,1424
256,256,4096,78.935,50.935,32.855,2.403,1.55,1.55,109,169,261,0,100,51.3,1424
512,512,4096,83.71,52.23,34.835,2.403,1.603,1.499,205,329,493,0,100,29.6,1424
1024,1024,4096,113.885,61.145,45.595,2.498,1.863,1.341,302,562,754,0,100,14.8,1424
2048,2048,4096,191.44,81.45,68.85,2.781,2.35,1.183,359,844,998,0,100,13.7,1424
4096,4096,4096,353.315,123.84,114.875,3.076,2.853,1.078,389,1110,1196,0,100,52.1,1424
8192,8192,4096,672.055,204.21,205.21,3.275,3.291,0.995,409,1346,1339,0,100,7.6,1424
16384,16384,4096,1308.88,365.245,384.36,3.405,3.584,0.95,420,1505,1430,0,100,3.6,1424
32768,32768,4096,2584.91,690.115,737.59,3.505,3.746,0.936,425,1593,1491,0,100,2.6,1424
1,16,6144,108.11,48.695,39.805,2.716,2.22,1.223,1,2,2,1,100,18.6,1424
2,16,6144,108.285,50.885,41.24,2.626,2.128,1.234,1,3,4,1,100,20.9,1424
4,16,6144,108.09,50.2,40.88,2.644,2.153,1.228,3,6,7,1,100,18.9,1424
8,16,6144,109.315,50.54,40.435,2.703,2.163,1.25,6,12,15,1,100,21.9,1424
16,16,6144,108.39,49.44,40.295,2.69,2.192,1.227,11,24,30,0,100,23.8,1424
32,128,6144,110.06,50.065,42.83,2.57,2.198,1.169,22,48,56,1,100,64.4,1424
64,128,6144,110.965,50.165,42.84,2.59,2.212,1.171,44,96,113,1,100,20.8,1424
128,128,6144,117.895,52.905,43.67,2.7,2.228,1.211,82,183,221,0,100,17.9,1424
256,256,6144,131.175,58.315,50.425,2.601,2.249,1.156,147,331,383,0,100,18.4,1424
512,512,6144,145.35,70.81,58.545,2.483,2.053,1.209,266,546,660,0,100,12.8,1424
1024,1024,6144,212.695,86.865,73.55,2.892,2.449,1.181,363,890,1051,0,100,13.2,1424
2048,2048,6144,391.885,134.615,127.8,3.066,2.911,1.053,395,1149,1210,0,100,9.3,1424
4096,4096,6144,752.725,226.425,228.16,3.299,3.324,0.992,411,1366,1355,0,100,7.2,1424
8192,8192,6144,1468.655,406.075,425.005,3.456,3.617,0.955,421,1523,1455,0,100,7.1,1424
16384,16384,6144,2901.39,767.51,821.135,3.533,3.78,0.935,426,1612,1506,0,100,6.3,1424
32768,32768,6144,5767.525,1486.42,1609.72,3.583,3.88,0.923,429,1664,1537,0,100,1.3,1424
1,16,8192,110.36,58.305,56.51,1.953,1.893,1.032,1,2,2,1,100,18.6,1424
2,16,8192,111.01,58.49,56.44,1.967,1.898,1.036,2,5,5,1,100,13.4,1424
4,16,8192,110.595,58.25,56.475,1.958,1.899,1.031,5,9,10,1,100,27.1,1424
8,16,8192,111.615,59.085,56.64,1.971,1.889,1.043,10,18,19,1,100,23.3,1424
16,16,8192,113.155,58.485,56.515,2.002,1.935,1.035,19,37,38,0,100,15.5,1424
32,128,8192,116.94,59.575,58.33,2.005,1.963,1.021,37,72,74,1,100,14.3,1424
64,128,8192,119.2,60.3,58.83,2.026,1.977,1.025,72,142,146,1,100,14.7,1424
128,128,8192,125.585,65.61,58.81,2.135,1.914,1.116,137,262,292,0,100,15.5,1424
256,256,8192,147.585,67.68,65.515,2.253,2.181,1.033,233,508,524,0,100,20.5,1424
512,512,8192,232.015,91.71,74.63,3.109,2.53,1.229,296,749,921,0,100,31.7,1424
1024,1024,8192,354.38,126.1,115.045,3.08,2.81,1.096,388,1090,1195,0,100,37.9,1424
2048,2048,8192,674.8,206.98,202.205,3.337,3.26,1.024,407,1328,1359,0,100,29.1,1424
4096,4096,8192,1313.845,368.67,379.835,3.459,3.564,0.971,418,1491,1447,0,100,3.8,1424
8192,8192,8192,2587.13,689.045,731.765,3.535,3.755,0.942,425,1596,1503,0,100,6.5,1424
16384,16384,8192,5131.165,1329.075,1429.62,3.589,3.861,0.93,429,1655,1538,0,100,1.4,1424
32768,32768,8192,10224.34,2605.76,2825.42,3.619,3.924,0.922,430,1688,1557,0,77,3.8,1424
1,16,12288,210.4,80.53,109.92,1.914,2.613,0.733,1,4,3,1,100,9.0,1424
2,16,12288,210.805,80.435,109.175,1.931,2.621,0.737,3,8,6,1,100,11.4,1424
4,16,12288,211.24,81.165,109.96,1.921,2.603,0.738,6,15,11,1,100,13.6,1424
8,16,12288,211.95,81.635,109.235,1.94,2.596,0.747,11,30,22,1,100,10.4,1424
16,16,12288,212.985,82.11,109.77,1.94,2.594,0.748,23,59,44,0,100,22.4,1424
32,128,12288,216.2,84.78,116.875,1.85,2.55,0.725,45,114,83,1,100,14.0,1424
64,128,12288,223.56,90.675,117.09,1.909,2.466,0.774,86,213,165,1,100,24.8,1424
128,128,12288,225.815,95.085,116.94,1.931,2.375,0.813,171,407,331,0,100,10.6,1424
256,256,12288,333.33,121.065,129.695,2.57,2.753,0.933,232,639,596,0,100,90.1,1424
512,512,12288,426.505,164.315,146.705,2.907,2.596,1.12,363,941,1054,0,100,9.3,1424
1024,1024,12288,753.355,235.035,242.255,3.11,3.205,0.97,410,1316,1276,0,100,5.4,1424
2048,2048,12288,1468.135,413.565,437.455,3.356,3.55,0.945,421,1495,1414,0,100,4.6,1424
4096,4096,12288,2899.205,776.015,822.54,3.525,3.736,0.943,427,1594,1504,0,100,6.3,1424
8192,8192,12288,5764.795,1499.51,1595.1,3.614,3.844,0.94,429,1650,1551,0,100,63.2,1424
16384,16384,12288,11494.53,2943.55,3135.33,3.666,3.905,0.939,430,1681,1578,0,68,86.1,1424
32768,32768,12288,22955.485,5824.345,6221.41,3.69,3.941,0.936,431,1699,1591,0,34,0.9,1424
1,16,16384,356.605,121.04,171.935,2.074,2.946,0.704,2,4,3,1,100,13.3,1424
2,16,16384,356.69,122.375,172.82,2.064,2.915,0.708,3,9,6,1,100,10.4,1424
4,16,16384,357.07,122.99,172.395,2.071,2.903,0.713,6,17,12,1,100,22.8,1424
8,16,16384,357.93,121.145,171.43,2.088,2.955,0.707,12,35,25,1,100,8.9,1424
16,16,16384,361.075,123.12,171.305,2.108,2.933,0.719,24,70,50,0,100,8.1,1424
32,128,16384,369.36,128.605,177.405,2.082,2.872,0.725,47,134,97,1,100,10.6,1424
64,128,16384,372.26,135.29,176.22,2.112,2.752,0.768,92,254,195,1,100,48.9,1424
128,128,16384,387.425,141.155,176.175,2.199,2.745,0.801,177,487,390,0,100,9.7,1424
256,256,16384,444.155,146.14,185.34,2.396,3.039,0.788,309,940,742,0,100,7.1,1424
512,512,16384,728.96,235.92,225.195,3.237,3.09,1.048,377,1165,1221,0,100,9.1,1424
1024,1024,16384,1321.085,372.37,400.435,3.299,3.548,0.93,416,1476,1373,0,100,980.6,1424
2048,2048,16384,2598.095,703.03,736.355,3.528,3.696,0.955,423,1564,1493,0,100,6.1,1424
4096,4096,16384,5132.175,1327.56,1422.17,3.609,3.866,0.933,428,1656,1546,0,100,1.0,1424
8192,8192,16384,10228.99,2614.42,2786.35,3.671,3.913,0.938,430,1682,1578,0,77,0.8,1424
16384,16384,16384,20426.02,5167.535,5500.32,3.714,3.953,0.939,431,1702,1599,0,38,0.9,1424
32768,32768,16384,40777.77,10271.36,10948.1,3.725,3.97,0.938,431,1713,1607,0,19,0.5,1424
