m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
16384,16384,1024,112.55,66.665,55.875,2.014,1.688,1.193,305,515,615,0,100,102.3,1427
32768,32768,1024,194.54,94.725,86.805,2.241,2.054,1.091,353,725,792,0,100,15.9,1427
1,16,2048,35.25,39.92,23.425,1.505,0.883,1.704,0,0,0,1,100,46.8,1427
2,16,2048,35.25,40.115,23.435,1.504,0.879,1.712,0,0,1,1,100,27.1,1427
4,16,2048,36.07,40.6,23.52,1.534,0.888,1.726,1,1,1,1,100,29.7,1427
8,16,2048,36.335,40.465,23.67,1.535,0.898,1.71,2,2,3,1,100,34.0,1427
16,16,2048,35.825,39.58,23.2,1.544,0.905,1.706,4,3,6,0,100,35.4,1427
32,128,2048,36.49,40.6,25.19,1.449,0.899,1.612,7,7,11,1,100,133.5,1427
64,128,2048,38.36,41.425,24.915,1.54,0.926,1.663,14,13,22,1,100,29.9,1427
128,128,2048,38.935,41.885,25.205,1.545,0.93,1.662,28,26,43,0,100,28.7,1427
256,256,2048,40.71,42.81,25.03,1.626,0.951,1.71,53,50,86,0,100,53.0,1427
512,512,2048,43.025,44.175,26.185,1.643,0.974,1.687,100,97,164,0,100,20.6,1427
1024,1024,2048,51.485,48.39,29.65,1.736,1.064,1.632,167,178,290,0,100,26.3,1427
2048,2048,2048,70.72,52.26,35.885,1.971,1.353,1.456,243,329,479,0,100,118.1,1427
4096,4096,2048,110.42,62.94,49.055,2.251,1.754,1.283,311,546,700,0,100,18.1,1427
8192,8192,2048,193.185,84.57,74.835,2.581,2.284,1.13,356,813,918,0,100,86.8,1427
16384,16384,2048,352.13,125.27,125.575,2.804,2.811,0.998,390,1097,1094,0,100,7.7,1427
32768,32768,2048,672.49,208.42,222.34,3.025,3.227,0.937,409,1319,1236,0,100,4.9,1427
1,16,3072,46.61,42.165,28.025,1.663,1.105,1.505,0,0,1,1,100,33.8,1427
2,16,3072,45.74,42.295,27.91,1.639,1.081,1.515,1,1,1,1,100,43.5,1427
4,16,3072,45.375,41.245,27.47,1.652,1.1,1.501,2,2,3,1,100,33.6,1427
8,16,3072,46.16,42.58,28.22,1.636,1.084,1.509,3,4,5,1,100,33.8,1427
16,16,3072,46.245,42.545,27.945,1.655,1.087,1.522,7,7,11,0,100,65.0,1427
32,128,3072,45.345,40.945,29.105,1.558,1.107,1.407,13,15,21,1,100,32.8,1427
64,128,3072,48.035,42.835,28.96,1.659,1.121,1.479,25,28,42,1,100,193.5,1427
128,128,3072,51.755,44.17,29.075,1.78,1.172,1.519,47,55,83,0,100,85.1,1427
256,256,3072,55.64,47.06,28.995,1.919,1.182,1.623,87,103,167,0,100,26.2,1427
512,512,3072,61.78,49.67,34.485,1.792,1.244,1.44,156,195,280,0,100,21.1,1427
1024,1024,3072,78.01,55.1,40.91,1.907,1.416,1.347,248,351,472,0,100,74.7,1427
2048,2048,3072,121.215,64.61,50.91,2.381,1.876,1.269,319,598,759,0,100,14.4,1427
4096,4096,3072,211.98,88.755,77.815,2.724,2.388,1.141,365,871,994,0,100,76.4,1427
8192,8192,3072,392.625,135.235,132.825,2.956,2.903,1.018,394,1143,1164,0,100,12.2,1427
16384,16384,3072,752.095,226.285,236.935,3.174,3.324,0.955,411,1367,1305,0,100,9.4,1427
32768,32768,3072,1470.08,407.935,441.865,3.327,3.604,0.923,421,1516,1400,0,100,3.2,1427
1,16,4096,64.015,45.65,31.06,2.061,1.402,1.47,1,1,1,1,100,2802.8,1427
2,16,4096,62.955,43.17,30.48,2.065,1.458,1.416,1,2,2,1,100,21.6,1427
4,16,4096,63.76,44.515,30.965,2.059,1.432,1.438,2,3,4,1,100,36.6,1427
8,16,4096,63.7,43.94,30.92,2.06,1.45,1.421,4,6,9,1,100,27.0,1427
16,16,4096,63.55,43.695,30.875,2.058,1.454,1.415,8,12,17,0,100,20.8,1427
32,128,4096,64.6,44.23,32.875,1.965,1.461,1.345,17,24,33,1,100,22.7,1427
64,128,4096,65.31,45.145,32.885,1.986,1.447,1.373,33,48,65,1,100,33.5,1427
128,128,4096,69.11,46.665,32.78,2.108,1.481,1.424,62,92,131,0,100,23.3,1427
256,256,4096,77.945,51.785,33.26,2.344,1.505,1.557,110,166,258,0,100,56.9,1427
512,512,4096,84.01,53.62,36.73,2.287,1.567,1.46,204,320,468,0,100,24.5,1427
1024,1024,4096,113.185,62.61,46.81,2.418,1.808,1.338,304,549,734,0,100,20.9,1427
2048,2048,4096,192.5,83.14,70.625,2.726,2.315,1.177,357,827,973,0,100,13.4,1427
4096,4096,4096,353.35,124.48,117.36,3.011,2.839,1.061,389,1104,1171,0,100,39.7,1427
8192,8192,4096,671.68,206.0,209.04,3.213,3.261,0.985,409,1334,1315,0,100,5.1,1427
16384,16384,4096,1309.8,369.07,388.06,3.375,3.549,0.951,420,1490,1417,0,100,4.3,1427
32768,32768,4096,2586.43,691.43,741.4,3.489,3.741,0.933,425,1590,1483,0,100,4.7,1427
1,16,6144,106.585,51.27,43.055,2.476,2.079,1.191,1,1,2,1,100,19.4,1427
2,16,6144,107.015,52.33,43.32,2.47,2.045,1.208,1,3,3,1,100,27.6,1427
4,16,6144,107.365,51.19,43.075,2.493,2.097,1.188,3,6,7,1,100,22.0,1427
8,16,6144,108.16,52.395,43.395,2.492,2.064,1.207,6,12,14,1,100,134.0,1427
16,16,6144,108.065,52.5,43.42,2.489,2.058,1.209,11,23,28,0,100,20.2,1427
32,128,6144,109.12,52.36,45.975,2.373,2.084,1.139,22,46,53,1,100,46.0,1427
64,128,6144,111.04,53.645,46.215,2.403,2.07,1.161,44,90,105,1,100,19.6,1427
128,128,6144,117.105,54.585,44.095,2.656,2.145,1.238,83,177,219,0,100,18.4,1427
256,256,6144,133.43,62.21,54.735,2.438,2.145,1.137,145,311,353,0,100,17.1,1427
512,512,6144,145.54,71.675,62.455,2.33,2.031,1.148,266,539,619,0,100,17.3,1427
1024,1024,6144,213.525,89.84,76.035,2.808,2.377,1.182,362,861,1017,0,100,26.1,1427
2048,2048,6144,393.59,136.365,127.1,3.097,2.886,1.073,393,1134,1217,0,100,12.5,1427
4096,4096,6144,751.64,226.99,228.77,3.286,3.311,0.992,411,1362,1352,0,100,22.0,1427
8192,8192,6144,1468.335,408.035,426.125,3.446,3.599,0.958,421,1516,1451,0,100,12.3,1427
16384,16384,6144,2901.395,767.94,822.865,3.526,3.778,0.933,426,1611,1503,0,100,8.4,1427
32768,32768,6144,5766.09,1488.435,1612.27,3.576,3.874,0.923,429,1662,1534,0,100,1.9,1427
1,16,8192,110.3,60.125,58.24,1.894,1.835,1.032,1,2,2,1,100,21.3,1427
2,16,8192,111.175,60.91,58.355,1.905,1.825,1.044,2,4,5,1,100,23.6,1427
4,16,8192,111.215,61.82,58.625,1.897,1.799,1.054,5,9,9,1,100,104.6,1427
8,16,8192,110.725,60.715,58.355,1.897,1.824,1.04,10,18,18,1,100,18.4,1427
16,16,8192,107.87,56.985,57.605,1.873,1.893,0.989,20,38,37,0,100,36.9,1427
32,128,8192,113.1,57.465,59.42,1.903,1.968,0.967,38,75,72,1,100,22.7,1427
64,128,8192,117.095,58.79,59.32,1.974,1.992,0.991,73,146,145,1,100,74.5,1427
128,128,8192,126.895,67.0,60.385,2.101,1.894,1.11,135,256,285,0,100,15.3,1427
256,256,8192,146.12,68.92,67.57,2.162,2.12,1.02,235,499,509,0,100,38.1,1427
512,512,8192,231.13,94.345,77.945,2.965,2.45,1.21,297,728,882,0,100,14.5,1427
1024,1024,8192,354.755,128.23,115.345,3.076,2.767,1.112,387,1072,1192,0,100,39.9,1427
2048,2048,8192,673.05,210.375,203.995,3.299,3.199,1.031,408,1307,1347,0,100,7.6,1427
4096,4096,8192,1311.83,371.875,381.23,3.441,3.528,0.975,419,1478,1442,0,100,7.3,1427
8192,8192,8192,2585.92,690.55,734.655,3.52,3.745,0.94,425,1592,1497,0,100,5.6,1427
16384,16384,8192,5128.525,1330.15,1430.175,3.586,3.856,0.93,429,1653,1538,0,100,3.5,1427
32768,32768,8192,10223.31,2608.07,2828.36,3.615,3.92,0.922,430,1686,1555,0,77,1.2,1427
1,16,12288,215.44,87.965,110.555,1.949,2.449,0.796,1,3,3,1,100,13.1,1427
2,16,12288,215.4,88.875,112.085,1.922,2.424,0.793,3,7,5,1,100,11.3,1427
4,16,12288,211.625,83.055,110.35,1.918,2.548,0.753,6,15,11,1,100,154.2,1427
8,16,12288,211.415,83.62,110.245,1.918,2.528,0.758,11,29,22,1,100,11.9,1427
16,16,12288,213.735,83.825,110.27,1.938,2.55,0.76,23,58,44,0,100,13.9,1427
32,128,12288,215.895,86.395,117.26,1.841,2.499,0.737,45,112,82,1,100,11.7,1427
64,128,12288,224.135,91.68,117.97,1.9,2.445,0.777,86,211,164,1,100,13.6,1427
128,128,12288,223.925,97.255,117.115,1.912,2.302,0.83,173,397,330,0,100,12.4,1427
256,256,12288,332.69,122.615,129.645,2.566,2.713,0.946,232,631,596,0,100,11.0,1427
512,512,12288,427.26,164.505,148.19,2.883,2.597,1.11,362,940,1043,0,100,7.3,1427
1024,1024,12288,754.245,235.15,243.995,3.091,3.208,0.964,410,1315,1267,0,100,14.3,1427
2048,2048,12288,1467.98,418.195,437.17,3.358,3.51,0.957,421,1479,1415,0,100,3.3,1427
4096,4096,12288,2902.045,780.21,824.825,3.518,3.72,0.946,426,1585,1500,0,100,124.9,1427
8192,8192,12288,5764.97,1501.665,1593.445,3.618,3.839,0.942,429,1647,1553,0,100,0.8,1427
16384,16384,12288,11493.52,2944.285,3127.82,3.675,3.904,0.941,430,1680,1582,0,68,1.4,1427
32768,32768,12288,22954.54,5827.2,6227.325,3.686,3.939,0.936,431,1698,1589,0,34,0.3,1427
1,16,16384,360.29,127.305,171.765,2.098,2.83,0.741,1,4,3,1,100,29.2,1427
2,16,16384,360.43,127.375,172.005,2.095,2.83,0.741,3,8,6,1,100,8.6,1427
4,16,16384,360.395,128.305,171.57,2.101,2.809,0.748,6,17,13,1,100,13.2,1427
8,16,16384,361.815,129.12,171.535,2.109,2.802,0.753,12,33,25,1,100,7.9,1427
16,16,16384,365.265,130.53,172.05,2.123,2.798,0.759,24,66,50,0,100,9.6,1427
32,128,16384,372.415,132.095,176.01,2.116,2.819,0.75,46,130,98,1,100,10.4,1427
64,128,16384,376.51,139.05,176.68,2.131,2.708,0.787,91,247,194,1,100,11.7,1427
128,128,16384,384.565,143.87,175.965,2.185,2.673,0.818,179,478,391,0,100,12.9,1427
256,256,16384,442.6,151.79,187.075,2.366,2.916,0.811,311,905,735,0,100,14.1,1427
512,512,16384,718.15,240.405,225.695,3.182,2.987,1.065,383,1143,1218,0,100,5.8,1427
1024,1024,16384,1319.79,371.435,398.01,3.316,3.553,0.933,417,1480,1381,0,100,12.9,1427
2048,2048,16384,2593.675,691.67,736.1,3.524,3.75,0.94,424,1590,1494,0,100,2.4,1427
4096,4096,16384,5136.52,1332.06,1420.07,3.617,3.856,0.938,428,1651,1549,0,100,2.2,1427
8192,8192,16384,10229.36,2611.66,2778.87,3.681,3.917,0.94,430,1684,1583,0,77,1.9,1427
16384,16384,16384,20427.45,5167.385,5507.325,3.709,3.953,0.938,431,1702,1597,0,38,0.6,1427
32768,32768,16384,40778.13,10273.1,10943.95,3.726,3.969,0.939,431,1712,1607,0,19,0.6,1427
